token,frequencia
oliveira,68
descartar,67
chip,66
shih,65
tzu,65
esternebras,65
tiemi,64
gas,63
visibilizam,63
t11,62
tubular,61
abaulamento,61
medica,61
cel,60
discretas,56
qualitativa,55
porem,55
evidente,55
microchip,55
lateral,54
juncoes,54
ossea,53
deslocada,52
caracteristicas,51
subjetiva,51
cinza,51
corte,51
difuso,51
medio,50
alem,50
alargado,50
estendendo,50
processos,49
toracicas,49
radiopacas,49
mais,48
apenas,48
quantitativa,47
associada,47
circular,47
diametro,46
algumas,46
porcoes,44
acompanhamento,44
transicao,44
broncointersticial,44
linfonodomegalia,44
base,43
radiopacos,43
bem,42
estomago,42
nodulo,42
regioes,42
yorkshire,41
santos,41
costelas,41
sao,41
neoplasico,41
evidencias,40
bronquial,40
pinscher,40
remodelamento,40
proliferacao,40
adjacentes,39
reducao,39
linfonodo,39
ate,39
monteiro,38
aumentada,38
paredes,38
parcialmente,38
estruturado,38
sobrepondo,38
metastases,38
historico,37
nina,37
bege,36
artefato,36
radiolucente,36
arco,36
dorsais,36
degeneracao,36
areas,35
labrador,35
colecao,35
globoso,35
golden,35
toracico,34
definidos,34
rodrigues,34
craniais,34
gasosa,34
vale,34
cerca,34
subcutaneo,33
ovalada,33
doenca,32
pneumotorax,32
esplenica,32
ferreira,32
mel,32
passivel,32
disso,31
tendendo,31
atrio,31
pereira,31
aline,31
marques,30
eixo,30
cupula,30
anatomica,30
esplenomegalia,30
visibilizada,30
tricolor,30
esternal,30
definidas,30
pouco,29
sonda,29
fluido,29
esternebra,29
alves,29
adjacente,28
broncopneumonia,28
compativel,28
pneumopatias,28
mediastinais,28
mediastinal,28
tipica,28
espinhosos,28
esofagica,28
visibilizacao,27
cardiopatia,27
definida,27
achado,27
inespecifico,27
alergica,27
intervertebral,27
indicativas,27
traqueais,26
sugestivos,26
etiologia,26
infecciosa,26
inflamatoria,26
bronquios,26
regulares,26
cervicotoracico,26
pastor,26
retrivier,26
nodular,26
estadiamento,26
usuais,25
manutencao,25
aparecida,25
ana,25
opacidade,25
cardiaco,25
formacao,25
diagnosticos,25
principalmente,25
degenerativo,25
parcial,25
diafragmaticas,24
bronquite,24
margem,24
vieira,24
intratoracico,24
alemao,24
tambem,24
discopatia,24
integras,24
elevada,24
soares,24
camaras,24
fernanda,24
luiz,24
antonio,24
xifoide,24
pericardico,23
andrade,23
radiotransparencia,23
cruras,23
direitas,23
fissuras,23
interlobares,23
vertebral,23
massa,23
retracao,23
bronquiectasia,23
maia,23
paula,23
circulares,22
relacao,22
cunha,22
peri,22
mineral,22
exceto,22
radiograficamente,22
buldogue,22
poodle,22
goncalves,22
ecodopplercardiogram,22
informado,22
pequena,22
articular,21
solicitante,21
moreira,21
gomes,21
lima,21
incipiente,21
cervicais,21
contato,21
terco,21
tamanho,21
moderada,21
corpo,20
multiplas,20
localizadas,20
duas,20
hemivertebras,20
coluna,20
duarte,20
entretanto,20
essas,20
lopes,20
figueiredo,20
dilatados,20
jose,20
ribeiro,20
bicolor,20
mantidos,19
consequente,19
cavidade,19
pbh,19
comprimento,19
intratoracica,19
almeida,19
definicao,19
maltes,19
outras,19
cristina,19
intratoracicas,18
helena,18
liquido,18
perda,18
direitos,18
estranho,18
smsa,18
evidenciacao,18
regionais,18
mas,18
preservada,18
luiza,18
costocondral,18
alargamento,17
menos,17
radiopaca,17
possibilidade,17
gastrica,17
sobreposta,17
marron,17
ovaladas,17
aos,17
sousa,17
